0.016,0.038,0.053
0.033,0.076,0.098
0.050,0.116,0.149
0.067,0.157,0.192
0.084,0.193,0.229
0.101,0.236,0.267
0.118,0.273,0.298
0.135,0.311,0.332
0.152,0.346,0.367
0.169,0.383,0.391
0.186,0.428,0.408
0.203,0.459,0.427
0.220,0.503,0.451
0.237,0.535,0.463
0.254,0.581,0.469
0.271,0.618,0.478
0.288,0.650,0.479
0.305,0.691,0.488
0.322,0.728,0.487
0.339,0.757,0.478
0.356,0.794,0.480
0.373,0.838,0.467
0.390,0.866,0.454
0.407,0.911,0.437
0.424,0.945,0.421
0.441,0.973,0.401
0.458,1.013,0.379
0.475,1.052,0.357
0.492,1.081,0.330
0.509,1.120,0.298
0.526,1.151,0.265
0.543,1.193,0.229
0.560,1.223,0.191
0.577,1.256,0.148
0.594,1.288,0.102
0.611,1.323,0.052
0.628,1.364,0.010
