0.016,0.041,0.047
0.033,0.075,0.105
0.050,0.115,0.151
0.067,0.158,0.191
0.084,0.190,0.234
0.101,0.228,0.281
0.118,0.271,0.315
0.135,0.308,0.350
0.152,0.346,0.374
0.169,0.378,0.404
0.186,0.423,0.428
0.203,0.456,0.451
0.220,0.498,0.466
0.237,0.527,0.483
0.254,0.572,0.489
0.271,0.605,0.505
0.288,0.638,0.506
0.305,0.675,0.512
0.322,0.716,0.510
0.339,0.747,0.513
0.356,0.785,0.509
0.373,0.822,0.504
0.390,0.858,0.491
0.407,0.892,0.474
0.424,0.931,0.458
0.441,0.960,0.444
0.458,0.998,0.421
0.475,1.033,0.400
0.492,1.073,0.371
0.509,1.104,0.342
0.526,1.135,0.308
0.543,1.170,0.268
0.560,1.207,0.236
0.577,1.243,0.192
0.594,1.275,0.149
0.611,1.309,0.108
0.628,1.345,0.056
0.645,1.373,0.013
