0.016,0.036,0.050
0.033,0.074,0.101
0.050,0.111,0.149
0.067,0.154,0.187
0.084,0.192,0.227
0.101,0.233,0.267
0.118,0.273,0.299
0.135,0.307,0.332
0.152,0.344,0.361
0.169,0.386,0.385
0.186,0.423,0.415
0.203,0.457,0.432
0.220,0.493,0.452
0.237,0.525,0.467
0.254,0.569,0.474
0.271,0.598,0.483
0.288,0.638,0.489
0.305,0.677,0.489
0.322,0.712,0.487
0.339,0.746,0.483
0.356,0.780,0.480
0.373,0.821,0.477
0.390,0.854,0.458
0.407,0.894,0.448
0.424,0.926,0.430
0.441,0.964,0.405
0.458,1.000,0.388
0.475,1.028,0.363
0.492,1.070,0.334
0.509,1.100,0.300
0.526,1.136,0.267
0.543,1.168,0.230
0.560,1.203,0.195
0.577,1.235,0.147
0.594,1.270,0.107
0.611,1.299,0.057
0.628,1.338,0.016
