0.016,0.025,0.055
0.033,0.062,0.118
0.050,0.089,0.172
0.067,0.121,0.215
0.084,0.147,0.264
0.101,0.173,0.312
0.118,0.200,0.355
0.135,0.236,0.390
0.152,0.259,0.430
0.169,0.291,0.463
0.186,0.318,0.489
0.203,0.351,0.516
0.220,0.377,0.540
0.237,0.400,0.561
0.254,0.428,0.572
0.271,0.459,0.590
0.288,0.484,0.607
0.305,0.516,0.615
0.322,0.545,0.621
0.339,0.566,0.626
0.356,0.601,0.625
0.373,0.625,0.618
0.390,0.648,0.612
0.407,0.681,0.608
0.424,0.704,0.597
0.441,0.735,0.579
0.458,0.760,0.567
0.475,0.788,0.548
0.492,0.815,0.528
0.509,0.844,0.504
0.526,0.868,0.479
0.543,0.896,0.445
0.560,0.924,0.411
0.577,0.943,0.371
0.594,0.973,0.335
0.611,0.999,0.297
0.628,1.027,0.250
0.645,1.050,0.208
0.662,1.078,0.154
0.679,1.101,0.111
0.696,1.123,0.059
