0.016,0.046,0.041
0.033,0.088,0.089
0.050,0.135,0.129
0.067,0.184,0.164
0.084,0.228,0.201
0.101,0.284,0.233
0.118,0.323,0.262
0.135,0.369,0.290
0.152,0.424,0.310
0.169,0.471,0.327
0.186,0.513,0.342
0.203,0.559,0.357
0.220,0.611,0.374
0.237,0.648,0.377
0.254,0.700,0.389
0.271,0.747,0.385
0.288,0.788,0.391
0.305,0.835,0.385
0.322,0.888,0.383
0.339,0.929,0.368
0.356,0.973,0.363
0.373,1.025,0.345
0.390,1.068,0.328
0.407,1.113,0.303
0.424,1.167,0.289
0.441,1.208,0.261
0.458,1.251,0.230
0.475,1.306,0.205
0.492,1.345,0.172
0.509,1.394,0.129
0.526,1.436,0.096
0.543,1.487,0.055
0.560,1.526,0.011
