0.005,-0.002
-0.000,0.005
0.006,0.001
0.012,0.004
0.017,0.009
0.021,0.008
0.026,0.016
0.029,0.021
0.033,0.017
0.030,0.023
0.043,0.024
0.046,0.026
0.046,0.025
0.055,0.033
0.054,0.036
0.061,0.038
0.071,0.040
0.074,0.033
0.082,0.035
0.079,0.039
0.091,0.037
0.088,0.040
0.099,0.039
0.104,0.035
0.105,0.030
0.114,0.029
0.113,0.031
0.117,0.027
0.124,0.027
0.125,0.025
0.131,0.014
0.139,0.019
0.142,0.011
0.142,0.011
0.152,0.008
0.155,0.001
0.157,0.002
0.159,-0.009
0.164,-0.011
0.170,-0.012
0.167,-0.020
0.169,-0.020
0.177,-0.028
0.185,-0.021
0.185,-0.031
0.193,-0.028
0.190,-0.035
0.200,-0.036
0.200,-0.035
0.207,-0.042
0.211,-0.038
0.221,-0.037
0.224,-0.044
0.223,-0.041
0.231,-0.042
0.235,-0.032
0.245,-0.030
0.248,-0.033
0.245,-0.029
0.248,-0.019
0.257,-0.016
0.262,-0.012
0.258,-0.010
0.268,-0.002
0.271,-0.007
0.266,0.002
0.273,0.005
0.273,0.005
0.277,0.016
0.279,0.021
0.281,0.023
0.285,0.030
0.291,0.027
0.291,0.031
0.294,0.041
0.303,0.040
0.305,0.041
0.310,0.050
0.316,0.050
0.320,0.043
0.320,0.038
0.321,0.036
0.328,0.033
0.335,0.031
0.331,0.023
0.333,0.017
0.332,0.011
0.336,0.007
0.335,0.005
0.344,0.004
0.336,0.000
0.343,-0.011
0.346,-0.009
0.346,-0.021
0.349,-0.024
0.348,-0.025
0.344,-0.033
0.350,-0.036
0.352,-0.044
0.352,-0.047
0.345,-0.054
0.350,-0.057
0.349,-0.054
0.351,-0.059
0.353,-0.051
0.353,-0.052
0.347,-0.051
0.348,-0.056
0.349,-0.058
0.348,-0.054
0.349,-0.058
0.345,-0.060
0.352,-0.053
0.345,-0.051
0.344,-0.051
0.345,-0.053
0.344,-0.058
0.351,-0.059
0.350,-0.053
0.344,-0.054
0.352,-0.051
0.347,-0.058
0.351,-0.060
0.353,-0.057
0.352,-0.059
0.344,-0.059
0.352,-0.060
0.351,-0.053
0.352,-0.058
0.351,-0.056
0.350,-0.058
0.352,-0.059
0.346,-0.059
0.344,-0.056
0.347,-0.052
0.350,-0.058
0.352,-0.055
0.353,-0.059
0.345,-0.060
0.346,-0.057
0.344,-0.057
0.346,-0.059
0.353,-0.055
0.349,-0.053
0.352,-0.054
0.349,-0.052
0.353,-0.056
0.344,-0.056
0.352,-0.054
0.352,-0.057
0.348,-0.059
0.351,-0.057
0.347,-0.057
0.345,-0.057
0.347,-0.053
0.351,-0.055
0.353,-0.052
0.346,-0.055
0.347,-0.052
