0.016,0.049,0.037
0.033,0.111,0.076
0.050,0.162,0.111
0.067,0.215,0.134
0.084,0.266,0.169
0.101,0.322,0.187
0.118,0.369,0.217
0.135,0.426,0.227
0.152,0.479,0.249
0.169,0.531,0.256
0.186,0.580,0.268
0.203,0.634,0.274
0.220,0.680,0.287
0.237,0.737,0.281
0.254,0.790,0.279
0.271,0.838,0.278
0.288,0.890,0.271
0.305,0.938,0.257
0.322,0.983,0.253
0.339,1.035,0.229
0.356,1.086,0.215
0.373,1.134,0.192
0.390,1.178,0.166
0.407,1.226,0.139
0.424,1.278,0.118
0.441,1.325,0.083
0.458,1.377,0.051
0.475,1.420,0.013
