0.016,0.045,0.045
0.033,0.085,0.086
0.050,0.132,0.130
0.067,0.175,0.162
0.084,0.214,0.195
0.101,0.252,0.230
0.118,0.294,0.252
0.135,0.330,0.280
0.152,0.366,0.300
0.169,0.405,0.316
0.186,0.441,0.326
0.203,0.465,0.342
0.220,0.502,0.353
0.237,0.532,0.358
0.254,0.563,0.360
0.271,0.593,0.359
0.288,0.622,0.354
0.305,0.653,0.351
0.322,0.674,0.340
0.339,0.703,0.332
0.356,0.730,0.316
0.373,0.748,0.298
0.390,0.772,0.279
0.407,0.791,0.265
0.424,0.820,0.236
0.441,0.837,0.215
0.458,0.860,0.178
0.475,0.875,0.152
0.492,0.889,0.117
0.509,0.913,0.074
0.526,0.925,0.033
