0.016,0.050,0.046
0.033,0.093,0.088
0.050,0.136,0.118
0.067,0.177,0.155
0.084,0.220,0.185
0.101,0.261,0.213
0.118,0.308,0.246
0.135,0.341,0.262
0.152,0.385,0.288
0.169,0.423,0.301
0.186,0.453,0.313
0.203,0.487,0.328
0.220,0.527,0.327
0.237,0.559,0.337
0.254,0.591,0.340
0.271,0.621,0.331
0.288,0.653,0.333
0.305,0.682,0.326
0.322,0.707,0.315
0.339,0.737,0.308
0.356,0.761,0.285
0.373,0.787,0.270
0.390,0.806,0.251
0.407,0.835,0.231
0.424,0.854,0.201
0.441,0.882,0.171
0.458,0.894,0.140
0.475,0.915,0.114
0.492,0.937,0.070
0.509,0.954,0.039
