0.016,0.048,0.047
0.033,0.095,0.082
0.050,0.140,0.126
0.067,0.179,0.165
0.084,0.228,0.198
0.101,0.265,0.228
0.118,0.308,0.246
0.135,0.350,0.270
0.152,0.382,0.296
0.169,0.423,0.317
0.186,0.459,0.327
0.203,0.491,0.341
0.220,0.528,0.346
0.237,0.554,0.355
0.254,0.589,0.359
0.271,0.619,0.357
0.288,0.648,0.348
0.305,0.677,0.349
0.322,0.705,0.342
0.339,0.740,0.324
0.356,0.760,0.312
0.373,0.786,0.296
0.390,0.814,0.279
0.407,0.842,0.257
0.424,0.860,0.235
0.441,0.883,0.208
0.458,0.905,0.173
0.475,0.932,0.145
0.492,0.951,0.106
0.509,0.971,0.068
0.526,0.986,0.033
