0.019,0.400
0.036,0.396
0.069,0.397
0.102,0.396
0.136,0.393
0.169,0.394
0.202,0.390
0.236,0.385
0.252,0.385
0.286,0.383
0.319,0.375
0.352,0.373
0.386,0.367
0.419,0.361
0.452,0.357
0.486,0.350
0.502,0.346
0.519,0.344
0.536,0.340
0.552,0.334
0.569,0.332
0.586,0.327
0.602,0.323
0.619,0.317
0.636,0.315
0.652,0.310
0.669,0.308
0.686,0.304
0.702,0.298
0.719,0.293
0.736,0.290
0.752,0.285
0.769,0.280
0.786,0.274
0.802,0.265
0.819,0.262
0.836,0.255
0.852,0.249
0.869,0.242
0.886,0.238
0.902,0.233
0.919,0.228
0.936,0.217
0.952,0.214
0.969,0.208
0.986,0.202
1.002,0.191
1.036,0.181
1.069,0.162
1.102,0.150
1.136,0.135
1.169,0.117
1.202,0.101
1.236,0.084
1.269,0.067
1.302,0.047
1.336,0.031
1.369,0.007
1.386,0.001
