0.026,0.997
0.059,0.996
0.093,0.998
0.126,0.999
0.159,1.001
0.193,1.002
0.226,1.000
0.259,1.002
0.293,1.001
0.326,1.001
0.359,1.003
0.393,1.005
0.426,1.006
0.459,1.007
0.493,1.009
0.526,1.010
0.543,1.010
0.559,1.012
0.576,1.015
0.593,1.017
0.609,1.014
0.626,1.015
0.643,1.017
0.659,1.018
0.676,1.021
0.693,1.019
0.709,1.024
0.726,1.024
0.743,1.026
0.759,1.028
0.776,1.025
0.793,1.028
0.809,1.032
0.826,1.032
0.843,1.033
0.859,1.032
0.876,1.037
0.893,1.037
0.909,1.040
0.926,1.038
0.943,1.040
0.959,1.045
0.976,1.045
0.993,1.045
1.026,1.048
1.059,1.053
1.093,1.056
1.126,1.059
1.159,1.063
1.193,1.069
1.226,1.071
1.259,1.077
1.293,1.078
1.326,1.083
1.359,1.091
1.393,1.093
1.426,1.099
1.459,1.101
1.493,1.107
1.526,1.116
1.559,1.121
1.593,1.127
1.626,1.128
1.659,1.136
1.693,1.142
1.726,1.149
1.759,1.156
1.793,1.164
1.826,1.166
1.859,1.174
1.893,1.180
1.926,1.192
1.959,1.197
1.993,1.203
2.026,1.215
2.059,1.219
2.093,1.228
2.126,1.236
2.159,1.248
2.193,1.256
2.226,1.265
2.259,1.272
2.293,1.281
2.326,1.294
2.359,1.302
2.393,1.313
2.426,1.323
2.459,1.334
2.493,1.345
2.526,1.357
2.559,1.369
2.593,1.383
2.626,1.395
2.659,1.407
2.693,1.419
2.726,1.431
2.759,1.447
2.793,1.457
2.826,1.473
2.859,1.488
2.893,1.500
2.926,1.515
2.959,1.531
2.993,1.551
3.026,1.564
3.059,1.583
3.093,1.597
3.126,1.618
3.159,1.633
3.193,1.655
3.226,1.671
3.259,1.691
3.293,1.710
3.326,1.731
3.359,1.752
3.393,1.771
3.426,1.794
3.459,1.817
3.493,1.837
3.526,1.861
3.559,1.887
3.593,1.909
3.626,1.934
3.659,1.959
3.693,1.988
3.726,2.015
