0.016,0.049,0.046
0.033,0.095,0.087
0.050,0.141,0.122
0.067,0.196,0.164
0.084,0.245,0.200
0.101,0.284,0.224
0.118,0.331,0.260
0.135,0.385,0.279
0.152,0.433,0.309
0.169,0.476,0.326
0.186,0.526,0.341
0.203,0.573,0.348
0.220,0.613,0.361
0.237,0.659,0.373
0.254,0.708,0.375
0.271,0.747,0.374
0.288,0.794,0.377
0.305,0.840,0.372
0.322,0.889,0.369
0.339,0.926,0.354
0.356,0.973,0.339
0.373,1.018,0.331
0.390,1.066,0.315
0.407,1.102,0.287
0.424,1.147,0.266
0.441,1.195,0.239
0.458,1.239,0.217
0.475,1.278,0.182
0.492,1.322,0.145
0.509,1.365,0.114
0.526,1.405,0.076
0.543,1.450,0.031
