0.016,0.043,0.048
0.033,0.092,0.085
0.050,0.141,0.130
0.067,0.190,0.162
0.084,0.234,0.192
0.101,0.287,0.229
0.118,0.337,0.258
0.135,0.376,0.275
0.152,0.428,0.299
0.169,0.474,0.321
0.186,0.517,0.333
0.203,0.566,0.344
0.220,0.613,0.355
0.237,0.659,0.363
0.254,0.700,0.372
0.271,0.751,0.367
0.288,0.787,0.371
0.305,0.840,0.364
0.322,0.878,0.356
0.339,0.925,0.348
0.356,0.972,0.332
0.373,1.014,0.315
0.390,1.058,0.295
0.407,1.104,0.274
0.424,1.144,0.256
0.441,1.185,0.226
0.458,1.232,0.202
0.475,1.272,0.171
0.492,1.319,0.129
0.509,1.359,0.093
0.526,1.404,0.053
0.543,1.437,0.012
