0.016,0.044,0.043
0.033,0.089,0.093
0.050,0.139,0.124
0.067,0.189,0.164
0.084,0.232,0.204
0.101,0.289,0.234
0.118,0.333,0.258
0.135,0.382,0.286
0.152,0.426,0.307
0.169,0.477,0.330
0.186,0.524,0.346
0.203,0.578,0.366
0.220,0.628,0.375
0.237,0.675,0.381
0.254,0.721,0.390
0.271,0.765,0.392
0.288,0.814,0.391
0.305,0.865,0.388
0.322,0.921,0.386
0.339,0.964,0.372
0.356,1.013,0.369
0.373,1.059,0.346
0.390,1.112,0.333
0.407,1.162,0.311
0.424,1.207,0.293
0.441,1.264,0.269
0.458,1.311,0.239
0.475,1.356,0.206
0.492,1.402,0.175
0.509,1.452,0.137
0.526,1.506,0.099
0.543,1.556,0.056
0.560,1.606,0.020
