0.016,0.042,0.041
0.033,0.091,0.092
0.050,0.144,0.125
0.067,0.193,0.171
0.084,0.235,0.202
0.101,0.287,0.232
0.118,0.329,0.263
0.135,0.385,0.294
0.152,0.436,0.315
0.169,0.483,0.330
0.186,0.530,0.357
0.203,0.578,0.366
0.220,0.621,0.381
0.237,0.672,0.387
0.254,0.727,0.392
0.271,0.768,0.395
0.288,0.818,0.402
0.305,0.871,0.396
0.322,0.916,0.394
0.339,0.972,0.379
0.356,1.012,0.376
0.373,1.063,0.363
0.390,1.119,0.347
0.407,1.159,0.321
0.424,1.211,0.296
0.441,1.265,0.279
0.458,1.314,0.253
0.475,1.358,0.223
0.492,1.407,0.184
0.509,1.463,0.145
0.526,1.511,0.109
0.543,1.558,0.070
0.560,1.611,0.029
