0.016,0.045,0.048
0.033,0.100,0.081
0.050,0.148,0.127
0.067,0.191,0.162
0.084,0.243,0.194
0.101,0.290,0.227
0.118,0.341,0.261
0.135,0.393,0.284
0.152,0.447,0.303
0.169,0.500,0.321
0.186,0.542,0.337
0.203,0.600,0.352
0.220,0.646,0.362
0.237,0.696,0.371
0.254,0.747,0.378
0.271,0.794,0.378
0.288,0.845,0.382
0.305,0.903,0.376
0.322,0.948,0.366
0.339,1.000,0.360
0.356,1.047,0.350
0.373,1.102,0.337
0.390,1.154,0.318
0.407,1.203,0.293
0.424,1.255,0.268
0.441,1.302,0.252
0.458,1.352,0.223
0.475,1.407,0.189
0.492,1.453,0.150
0.509,1.509,0.118
0.526,1.559,0.074
0.543,1.613,0.038
