0.016,0.055,0.063
0.033,0.117,0.115
0.050,0.182,0.177
0.067,0.238,0.227
0.084,0.297,0.277
0.101,0.363,0.323
0.118,0.418,0.357
0.135,0.482,0.397
0.152,0.535,0.439
0.169,0.592,0.469
0.186,0.651,0.496
0.203,0.708,0.525
0.220,0.767,0.550
0.237,0.825,0.572
0.254,0.876,0.589
0.271,0.936,0.608
0.288,0.985,0.619
0.305,1.043,0.631
0.322,1.097,0.637
0.339,1.157,0.633
0.356,1.206,0.635
0.373,1.264,0.636
0.390,1.313,0.628
0.407,1.364,0.619
0.424,1.424,0.616
0.441,1.475,0.594
0.458,1.522,0.586
0.475,1.580,0.566
0.492,1.633,0.540
0.509,1.685,0.520
0.526,1.734,0.496
0.543,1.785,0.460
0.560,1.832,0.433
0.577,1.883,0.391
0.594,1.937,0.358
0.611,1.989,0.321
0.628,2.039,0.276
0.645,2.084,0.231
0.662,2.138,0.182
0.679,2.177,0.134
0.696,2.225,0.084
0.713,2.277,0.025
