0.016,0.056,0.059
0.033,0.124,0.116
0.050,0.185,0.170
0.067,0.241,0.219
0.084,0.306,0.272
0.101,0.362,0.316
0.118,0.422,0.361
0.135,0.481,0.392
0.152,0.545,0.432
0.169,0.605,0.470
0.186,0.664,0.491
0.203,0.721,0.524
0.220,0.773,0.544
0.237,0.834,0.562
0.254,0.887,0.579
0.271,0.940,0.602
0.288,1.002,0.611
0.305,1.054,0.620
0.322,1.111,0.628
0.339,1.169,0.629
0.356,1.218,0.626
0.373,1.278,0.631
0.390,1.328,0.621
0.407,1.389,0.614
0.424,1.440,0.600
0.441,1.486,0.588
0.458,1.546,0.574
0.475,1.601,0.558
0.492,1.647,0.536
0.509,1.701,0.505
0.526,1.750,0.481
0.543,1.805,0.447
0.560,1.859,0.423
0.577,1.902,0.387
0.594,1.958,0.348
0.611,2.005,0.301
0.628,2.058,0.264
0.645,2.112,0.217
0.662,2.161,0.167
0.679,2.209,0.123
0.696,2.249,0.068
0.713,2.306,0.009
